S/N,customer ID,Sex,Lga,Sen. Zone,Amount Granted,Principal Balance,Date Granted,Expiry Date,Principal paid,Interest paid,Principal past due,Interest past due,Paid amount,Balance,Total amount to be paid,Percentage
665,loan665,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","300,000.00",07/04/2022,05/04/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
666,loan666,Female,ESAN CENTRAL,EDO CENTRAL,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
667,loan667,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
668,loan668,Male,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",13/07/2022,12/07/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
669,loan669,Male,AKOKO-EDO,EDO NORTH,"500,000.00","494,698.63",17/06/2022,16/06/2023,"5,301.37","3,698.63",0.00,0.00,"9,000.00","536,000.00","545,000.00",1.65
670,loan670,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","185,016.44",08/04/2022,07/04/2023,"14,983.56","6,016.44","66,666.68","5,016.44","21,000.00","197,000.00","218,000.00",9.63
671,loan671,Male,OREDO,EDO SOUTH,"500,000.00","500,000.00",21/04/2022,24/05/2023,0.00,"2,500.46",0.00,0.00,"2,500.46","542,499.54","545,000.00",0.46
672,loan672,Male,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
673,loan673,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
674,loan674,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","300,000.00",07/04/2022,05/04/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
675,loan675,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",07/04/2022,05/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
676,loan676,Male,ETSAKO CENTRAL,EDO NORTH,"500,000.00","370,201.38",26/04/2022,24/05/2023,"129,798.62","41,301.38","390,163.02","22,438.36","171,100.00","373,900.00","545,000.00",31.39
677,loan677,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
678,loan678,Male,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
679,loan679,Male,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
680,loan680,Male,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","100,000.00",01/07/2022,30/06/2023,0.00,0.00,,,0.00,"109,000.00","109,000.00",0.00
681,loan681,Female,OREDO,EDO SOUTH,"400,000.00","400,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
682,loan682,Male,OREDO,EDO SOUTH,"300,000.00","300,000.00",05/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
683,loan683,Male,ETSAKO EAST,EDO NORTH,"100,000.00","99,989.73",27/06/2022,26/06/2023,10.27,739.73,0.00,0.00,750.00,"108,250.00","109,000.00",0.69
684,loan684,Male,ETSAKO WEST,EDO NORTH,"100,000.00","99,764.38",13/07/2022,12/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
685,loan685,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
686,loan686,Female,ESAN WEST,EDO CENTRAL,"400,000.00","400,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
687,loan687,Male,ETSAKO WEST,EDO NORTH,"200,000.00","200,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
688,loan688,Male,ETSAKO WEST,EDO NORTH,"400,000.00","300,000.01",13/07/2022,12/07/2023,"99,999.99","9,100.01",0.00,0.00,"109,100.00","326,900.00","436,000.00",25.02
689,loan689,Male,EGOR,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
690,loan690,Male,ESAN WEST,EDO CENTRAL,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,"2,500.00",0.00,0.00,"2,500.00","542,500.00","545,000.00",0.46
691,loan691,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
692,loan692,Male,IKPOBA OKHA,EDO SOUTH,"300,000.00","255,080.14",04/04/2022,02/04/2023,"44,919.86","15,830.14","130,567.81","2,219.18","60,750.00","266,250.00","327,000.00",18.58
693,loan693,Male,UHUNMWONDE,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
694,loan694,Male,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
695,loan695,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",04/01/2023,13/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
696,loan696,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
697,loan697,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
698,loan698,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
699,loan699,Female,EGOR,EDO SOUTH,"400,000.00",0.00,31/05/2022,26/05/2023,"400,000.00","35,999.95","132,706.79","6,115.06","435,999.95",0.05,"436,000.00",100.00
700,loan700,Female,EGOR,EDO SOUTH,"400,000.00","384,090.39",04/04/2022,03/04/2023,"15,909.61","15,090.39","166,666.65","14,090.39","31,000.00","405,000.00","436,000.00",7.11
701,loan701,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",20/07/2022,19/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
702,loan702,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
703,loan703,Female,EGOR,EDO SOUTH,"500,000.00","172,226.04",04/04/2022,03/04/2023,"327,773.96","37,726.04","130,885.86","3,821.92","365,500.00","179,500.00","545,000.00",67.06
704,loan704,Male,IGUEBEN,EDO CENTRAL,"150,000.00","125,252.75",25/07/2022,24/07/2023,"24,747.25","3,402.75","25,000.00","1,452.75","28,150.00","135,350.00","163,500.00",17.22
705,loan705,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",05/01/2023,22/12/2023,0.00,0.00,0.00,0.00,0.00,"545,000.00","545,000.00",0.00
706,loan706,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
707,loan707,Male,AKOKO-EDO,EDO NORTH,"400,000.00","400,000.00",21/06/2022,20/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
708,loan708,Female,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",27/04/2022,24/05/2023,0.00,"1,000.35",0.00,0.00,"1,000.35","543,999.65","545,000.00",0.18
709,loan709,Male,IGUEBEN,EDO CENTRAL,"150,000.00","77,184.28",25/07/2022,24/07/2023,"72,815.72","10,134.28","75,000.00","5,784.28","82,950.00","80,550.00","163,500.00",50.73
710,loan710,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",19/09/2022,18/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
711,loan711,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",05/01/2023,03/01/2024,0.00,0.00,0.00,0.00,0.00,"545,000.00","545,000.00",0.00
712,loan712,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/01/2023,22/12/2023,0.00,0.00,0.00,0.00,0.00,"545,000.00","545,000.00",0.00
713,loan713,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
714,loan714,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
715,loan715,Female,OWAN EAST,EDO NORTH,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
716,loan716,Male,ORHIONMWON,EDO SOUTH,"400,000.00","400,000.00",08/04/2022,07/04/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
717,loan717,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
718,loan718,Female,ETSAKO CENTRAL,EDO NORTH,"300,000.00","279,719.18",07/04/2022,05/04/2023,"20,280.82","2,219.18",0.00,0.00,"22,500.00","304,500.00","327,000.00",6.88
719,loan719,Male,ESAN WEST,EDO CENTRAL,"200,000.00","183,008.22",05/04/2022,04/04/2023,"16,991.78","3,008.22","32,812.79","1,528.77","20,000.00","198,000.00","218,000.00",9.17
720,loan720,Male,ETSAKO WEST,EDO NORTH,"100,000.00","99,764.38",26/07/2022,25/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
721,loan721,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
722,loan722,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
723,loan723,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
724,loan724,Male,OREDO,EDO SOUTH,"200,000.00","166,666.66",22/06/2022,21/06/2023,"33,333.34","3,666.66",0.00,0.00,"37,000.00","181,000.00","218,000.00",16.97
725,loan725,Female,OREDO,EDO SOUTH,"200,000.00","195,016.44",23/06/2022,22/06/2023,"4,983.56","16,016.44","195,016.44","11,983.57","21,000.00","197,000.00","218,000.00",9.63
726,loan726,Male,EGOR,EDO SOUTH,"500,000.00","500,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
727,loan727,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
728,loan728,Male,EGOR,EDO SOUTH,"500,000.00","500,000.00",23/05/2022,19/05/2023,0.00,970.00,0.00,0.00,970.00,"544,030.00","545,000.00",0.18
729,loan729,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",13/04/2022,11/04/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
730,loan730,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","186,865.76",04/07/2022,03/07/2023,"13,134.24","6,065.76","66,666.68","5,065.76","19,200.00","198,800.00","218,000.00",8.81
731,loan731,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
732,loan732,Female,OWAN EAST,EDO NORTH,"200,000.00","200,000.00",01/07/2022,30/06/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
733,loan733,Male,OVIA NORTH-EAST,EDO SOUTH,"100,000.00","99,739.73",27/06/2022,26/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
734,loan734,Male,IKPOBA OKHA,EDO SOUTH,"400,000.00","381,958.90",04/04/2022,02/04/2023,"18,041.10","2,958.90","33,333.33","1,958.90","21,000.00","415,000.00","436,000.00",4.82
735,loan735,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
736,loan736,Female,EGOR,EDO SOUTH,"500,000.00","371,178.09",14/09/2022,11/09/2023,"128,821.91","41,178.09","338,168.99","11,342.47","170,000.00","375,000.00","545,000.00",31.19
737,loan737,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
738,loan738,Male,OREDO,EDO SOUTH,"300,000.00","283,017.81",07/04/2022,05/04/2023,"16,982.19","11,317.81","125,000.00","10,317.81","28,300.00","298,700.00","327,000.00",8.65
739,loan739,Male,ESAN WEST,EDO CENTRAL,"150,000.00","149,359.59",29/06/2022,28/06/2023,640.41,"1,109.59",0.00,0.00,"1,750.00","161,750.00","163,500.00",1.07
740,loan740,Female,OREDO,EDO SOUTH,"200,000.00","87,000.01",05/04/2022,04/04/2023,"112,999.99","18,000.01","200,000.00","17,000.01","131,000.00","87,000.00","218,000.00",60.09
741,loan741,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","277,012.33",07/04/2022,05/04/2023,"22,987.67","4,512.33","50,000.00","4,012.33","27,500.00","299,500.00","327,000.00",8.41
742,loan742,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
743,loan743,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
744,loan744,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
745,loan745,Male,OREDO,EDO SOUTH,"200,000.00",0.00,07/04/2022,05/04/2023,"200,000.00","18,000.01","199,479.45","16,520.56","218,000.01",-0.01,"218,000.00",100.00
746,loan746,Female,EGOR,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,02/04/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
747,loan747,Female,OVIA SOUTH-WEST,EDO SOUTH,"400,000.00","400,000.00",30/06/2022,29/06/2023,0.00,"2,000.00",0.00,0.00,"2,000.00","434,000.00","436,000.00",0.46
748,loan748,Female,OWAN EAST,EDO NORTH,"100,000.00","72,532.87",05/07/2022,04/07/2023,"27,467.13","3,032.87","24,999.99","1,768.49","30,500.00","78,500.00","109,000.00",27.98
749,loan749,Male,OREDO,EDO SOUTH,"200,000.00","199,479.45",21/06/2022,20/06/2023,520.55,"1,479.45",0.00,0.00,"2,000.00","216,000.00","218,000.00",0.92
750,loan750,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",13/07/2022,12/07/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
751,loan751,Male,IKPOBA OKHA,EDO SOUTH,"200,000.00","176,795.21",04/04/2022,02/04/2023,"23,204.79","7,545.21","83,333.35","6,795.21","30,750.00","187,250.00","218,000.00",14.11
752,loan752,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
753,loan753,Female,EGOR,EDO SOUTH,"500,000.00",0.00,04/04/2022,03/04/2023,"500,000.00","45,000.00","487,750.00","26,250.00","545,000.00",0.00,"545,000.00",100.00
754,loan754,Female,IGUEBEN,EDO CENTRAL,"150,000.00","125,000.00",08/07/2022,07/07/2023,"25,000.00","3,000.00","12,500.00",146.58,"28,000.00","135,500.00","163,500.00",17.13
755,loan755,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
756,loan756,Female,OWAN EAST,EDO NORTH,"200,000.00","117,000.01",19/07/2022,18/07/2023,"82,999.99","18,000.01","200,000.00","17,000.01","101,000.00","117,000.00","218,000.00",46.33
757,loan757,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
758,loan758,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
759,loan759,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,0.00,0.00,0.00,0.00,"545,000.00","545,000.00",0.00
760,loan760,Male,ESAN WEST,EDO CENTRAL,"150,000.00","150,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
761,loan761,Female,OREDO,EDO SOUTH,"400,000.00","400,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
762,loan762,Female,OREDO,EDO SOUTH,"200,000.00","186,795.21",04/04/2022,03/04/2023,"13,204.79","7,545.21","83,333.35","6,795.21","20,750.00","197,250.00","218,000.00",9.52
763,loan763,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
764,loan764,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
765,loan765,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
766,loan766,Male,ESAN WEST,EDO CENTRAL,"200,000.00","196,479.45",05/04/2022,04/04/2023,"3,520.55","1,479.45",0.00,0.00,"5,000.00","213,000.00","218,000.00",2.29
767,loan767,Female,IGUEBEN,EDO CENTRAL,"500,000.00","407,500.01",29/06/2022,27/06/2023,"92,499.99","45,000.01","419,342.47","33,657.54","137,500.00","407,500.00","545,000.00",25.23
768,loan768,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
769,loan769,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
770,loan770,Female,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",12/08/2022,11/08/2023,0.00,50.00,0.00,0.00,50.00,"163,450.00","163,500.00",0.03
771,loan771,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
772,loan772,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
773,loan773,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,13/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
774,loan774,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
775,loan775,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","150,721.24",05/04/2022,03/04/2023,"49,278.76","16,471.24","146,608.03","7,446.58","65,750.00","152,250.00","218,000.00",30.16
776,loan776,Male,OWAN WEST,EDO NORTH,"400,000.00","400,000.00",21/06/2022,20/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
777,loan777,Female,OWAN EAST,EDO NORTH,"200,000.00","200,000.00",19/07/2022,18/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
778,loan778,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
779,loan779,Female,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","99,739.73",30/06/2022,29/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
780,loan780,Female,EGOR,EDO SOUTH,"400,000.00","400,000.00",09/09/2022,08/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
781,loan781,Female,OREDO,EDO SOUTH,"400,000.00","400,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
782,loan782,Male,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"218,000.00","218,000.00",0.00
783,loan783,Female,EGOR,EDO SOUTH,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
784,loan784,Male,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",05/07/2022,04/07/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
785,loan785,Male,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
786,loan786,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",14/07/2022,13/07/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
787,loan787,Male,ETSAKO WEST,EDO NORTH,"500,000.00","458,333.33",05/08/2022,04/08/2023,"41,666.67","19,833.33","458,333.33","40,166.68","61,500.00","483,500.00","545,000.00",11.28
788,loan788,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",07/07/2022,06/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
789,loan789,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
790,loan790,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","99,764.38",12/08/2022,11/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
791,loan791,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
792,loan792,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,13/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
793,loan793,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
794,loan794,Female,IGUEBEN,EDO CENTRAL,"400,000.00","400,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
795,loan795,Female,ETSAKO EAST,EDO NORTH,"400,000.00","400,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
796,loan796,Male,ETSAKO CENTRAL,EDO NORTH,"300,000.00","225,000.00",07/04/2022,05/04/2023,"75,000.00","7,500.00",0.00,0.00,"82,500.00","244,500.00","327,000.00",25.23
797,loan797,Male,ETSAKO EAST,EDO NORTH,"150,000.00","124,702.75",17/06/2022,16/06/2023,"25,297.25","3,402.75","25,000.00","1,202.75","28,700.00","134,800.00","163,500.00",17.55
798,loan798,Female,ETSAKO WEST,EDO NORTH,"200,000.00","167,536.99",17/06/2022,15/06/2023,"32,463.01","4,536.99","33,333.34","2,203.66","37,000.00","181,000.00","218,000.00",16.97
799,loan799,Female,ESAN WEST,EDO CENTRAL,"150,000.00","100,000.00",13/07/2022,12/07/2023,"50,000.00","4,750.00",0.00,0.00,"54,750.00","108,750.00","163,500.00",33.49
800,loan800,Male,ETSAKO WEST,EDO NORTH,"200,000.00","199,479.45",05/04/2022,04/04/2023,520.55,"1,479.45",0.00,0.00,"2,000.00","216,000.00","218,000.00",0.92
801,loan801,Male,ETSAKO EAST,EDO NORTH,"200,000.00","181,008.22",09/08/2022,08/08/2023,"18,991.78","3,008.22","16,666.67",528.77,"22,000.00","196,000.00","218,000.00",10.09
802,loan802,Male,ETSAKO EAST,EDO NORTH,"100,000.00","100,000.00",17/06/2022,15/06/2023,0.00,0.00,,,0.00,"109,000.00","109,000.00",0.00
803,loan803,Male,ETSAKO WEST,EDO NORTH,"300,000.00","297,719.18",17/06/2022,15/06/2023,"2,280.82","2,219.18",0.00,0.00,"4,500.00","322,500.00","327,000.00",1.38
804,loan804,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
805,loan805,Male,UHUNMWONDE,EDO SOUTH,"150,000.00","149,359.59",04/07/2022,28/06/2023,640.41,"1,109.59",0.00,0.00,"1,750.00","161,750.00","163,500.00",1.07
806,loan806,Female,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","99,764.38",08/07/2022,07/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
807,loan807,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
808,loan808,Female,OWAN EAST,EDO NORTH,"500,000.00","500,000.00",12/09/2022,08/09/2023,0.00,"10,000.00","500,000.00","45,000.01","10,000.00","535,000.00","545,000.00",1.83
809,loan809,Male,IGUEBEN,EDO CENTRAL,"200,000.00","200,000.00",21/06/2022,20/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
810,loan810,Male,EGOR,EDO SOUTH,"150,000.00","150,000.00",25/07/2022,24/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
811,loan811,Female,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
812,loan812,Female,UHUNMWONDE,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
